ZCTA5CE10,ALAND10,AWATER10,area
51543,57402651,0,57398950
52208,150288094,441336,150622957
52332,109615934,1076155,110626579
50701,211307390,3411353,214562642
50276,208197916,1649044,209709519
50107,130323310,109876,130361871
50156,232315736,6408279,238558929
50223,76048297,552251,76552941
50630,214483346,232646,214566162
50644,369298026,3297175,372373282
52326,5259973,187945,5444965
50671,57516940,16334,57500930
50554,230386693,2375376,232705832
50611,78763743,0,78700862
50665,253290828,0,253090518
50605,38865937,0,38834860
51443,275566438,876263,276356554
51544,145030361,104671,145130340
52216,146924409,25719,146928012
52306,193533415,712142,194190562
50434,23249292,238127,23469414
50468,256180153,29336,256004932
50475,231013382,89137,230919662
51012,386682411,155693,386947415
51025,278363472,39513,278482990
51048,86240685,0,86288783
52154,189897805,68679,189836126
50174,278523046,195449,278540458
51333,167531168,2834305,170340105
51343,64797509,524496,65317080
51341,893950,0,893840
52077,83704995,24155,83690852
52730,94758761,6484650,101283950
52060,408401938,1433257,409878395
51439,223052570,424267,223549533
50263,89811208,191647,89942591
50003,296262168,1824123,297903455
50038,7907934,966305,8868383
52637,172002147,39763,172008326
52660,57330895,36648,57350617
51363,1050241,0,1050041
51345,145805647,498785,146326629
52166,493739,0,493435
50471,110089036,0,110001274
50620,324589,0,324339
50126,351532763,342067,351597117
50071,292776820,337362,292892229
50064,40418909,0,40396988
50115,440965745,219589,441015743
50432,1127714,0,1126931
51564,103451375,9676,103527292
51555,403793188,6343466,410407358
51523,133141497,1827730,135076390
52641,548534824,3228786,551514540
52649,119318917,80549,119344748
52635,111404053,1108282,112452585
50548,321533403,1931816,323286878
50545,97206312,45921,97193164
52325,109065817,77376,109077600
52334,43109728,0,43083468
52220,1194245,0,1193494
50141,93619441,158040,93702535
50169,103076354,302211,103298086
52556,457203874,1280676,458209758
52533,227595703,182619,227624689
52585,145151739,748640,145809887
52327,216537935,1069677,217508801
52321,77841390,0,77832335
52305,73493573,0,73468992
52212,60780511,10057,60779420
52591,327567747,281642,327624205
50522,175965366,260029,176124958
52619,94003111,1319433,95280970
52624,1656465,0,1655944
52657,494762,0,494556
51232,156584013,54498,156714588
50207,366329546,258736,366303716
50027,72300542,591188,72836910
50062,80081240,23079,80041085
51534,259972070,830980,260929276
51540,140723810,658654,141423012
50476,101620767,81814,101622170
51051,8724971,15238,8746152
51010,175387775,925350,176423353
51055,172795960,1896488,174863507
52536,159982929,150782,160009732
51630,65739953,0,65743017
51631,95638364,212938,95842782
50536,366256005,3976489,370111126
51031,605051258,60585,605635140
51028,328877363,53611,329154082
51001,360544871,317456,256993839
50574,288134473,0,288041427
50131,56477726,8189213,64620881
51542,92260796,619914,92935275
51577,206915861,63177,206986235
50836,231152011,1676716,232734431
50835,43864480,130304,43974075
50074,125812204,2003718,127739579
52722,68714054,4447571,73183464
52767,1725980,1628662,3355773
52803,13273300,794735,14071158
51578,96684,0,96700
51003,144294826,76283,144466297
52566,2692350,0,2690313
52583,120561019,155287,120620262
50453,114170099,177512,114264040
52168,417415,0,417155
50101,25431226,0,25412580
