STATEFP10,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,PARTFLG10
19,50247,1950247,B5,G6350,S,215688269,280365,+42.0174362,-093.1646035,N
19,50158,1950158,B5,G6350,S,547770086,576848,+42.0498064,-092.9007394,N
19,50635,1950635,B5,G6350,S,217592812,0,+42.2020606,-092.6993218,N
19,50426,1950426,B5,G6350,S,60113,0,+43.4154812,-093.0171326,N
19,51638,1951638,B5,G6350,S,220309190,457452,+40.8361984,-095.2799393,N
19,50581,1950581,B5,G6350,S,245993524,728961,+42.8429960,-094.5497779,N
19,51050,1951050,B5,G6350,S,353266814,0,+42.7936157,-095.9459252,N
19,50524,1950524,B5,G6350,S,148454625,80806,+42.6168532,-094.3538378,N
19,50317,1950317,B5,G6350,S,59339311,702531,+41.6213467,-093.5478931,N
19,50312,1950312,B5,G6350,S,14709325,341735,+41.5826778,-093.6766696,N
19,50047,1950047,B5,G6350,S,150551626,1608002,+41.4636395,-093.4742799,N
19,52215,1952215,B5,G6350,S,223510103,672095,+41.9135271,-092.4052877,N
19,52339,1952339,B5,G6350,S,264553696,555158,+41.9279439,-092.5870914,N
19,52232,1952232,B5,G6350,S,47498282,19164,+41.8043596,-092.3358022,N
19,50583,1950583,B5,G6350,S,305136071,1223470,+42.4327180,-094.9856924,N
19,51450,1951450,B5,G6350,S,153251668,4344154,+42.3164616,-095.0208000,N
19,52753,1952753,B5,G6350,S,64478931,4013252,+41.6285484,-090.3859279,N
19,52748,1952748,B5,G6350,S,106896308,108607,+41.6657363,-090.5549548,N
19,50652,1950652,B5,G6350,S,605668,0,+42.2642917,-092.6937604,N
19,52551,1952551,B5,G6350,S,149297301,2671767,+40.8247727,-092.1093953,N
19,50052,1950052,B5,G6350,S,50874664,65966,+40.6432602,-093.4443791,N
19,50543,1950543,B5,G6350,S,212824794,0,+42.2746957,-094.3046396,N
19,50594,1950594,B5,G6350,S,67103128,0,+42.5851957,-094.0401285,N
19,50569,1950569,B5,G6350,S,54375018,514691,+42.4032063,-094.1342368,N
19,50450,1950450,B5,G6350,S,209812899,4268390,+43.4211777,-093.5223972,N
19,50446,1950446,B5,G6350,S,108697147,172633,+43.3407393,-093.4469067,N
19,51052,1951052,B5,G6350,S,155944754,3714561,+42.3082336,-096.2659868,N
19,51044,1951044,B5,G6350,S,89676276,163307,+42.3078156,-095.9228727,N
19,50164,1950164,B5,G6350,S,137992511,242529,+41.4995176,-094.4202128,N
19,50155,1950155,B5,G6350,S,78465748,35572,+41.2110183,-094.1993534,N
19,52593,1952593,B5,G6350,S,42464728,41148,+40.7722929,-092.7462257,N
19,52224,1952224,B5,G6350,S,256378050,215562,+42.1659112,-092.2997609,N
19,50634,1950634,B5,G6350,S,1007524,10728,+42.4186745,-092.2140005,N
19,50675,1950675,B5,G6350,S,287086664,150772,+42.1978202,-092.5120919,N
19,50248,1950248,B5,G6350,S,211484087,96668,+42.1912256,-093.6146728,N
19,50530,1950530,B5,G6350,S,167469642,915677,+42.2707059,-094.0396947,N
19,50677,1950677,B5,G6350,S,321992838,3194003,+42.7667835,-092.4296817,N
19,50654,1950654,B5,G6350,S,136188150,0,+42.4986978,-091.6428295,N
19,50579,1950579,B5,G6350,S,355724263,3395688,+42.3943097,-094.6387578,N
19,51433,1951433,B5,G6350,S,146234075,1121478,+42.2666408,-094.8753343,N
19,51444,1951444,B5,G6350,S,422230,0,+42.0048387,-094.9731176,N
19,52358,1952358,B5,G6350,S,200272897,666632,+41.6914005,-091.3184325,N
19,52323,1952323,B5,G6350,S,132024745,329049,+41.9832212,-090.9591839,N
19,50458,1950458,B5,G6350,S,190715038,83451,+43.1587333,-093.0120181,N
19,50469,1950469,B5,G6350,S,227803634,75970,+42.9993268,-093.1970993,N
19,50464,1950464,B5,G6350,S,61009266,0,+43.2534001,-093.0807847,N
19,51035,1951035,B5,G6350,S,278976810,0,+42.7788508,-095.7993682,N
19,50659,1950659,B5,G6350,S,403626744,176022,+43.0958380,-092.3290514,N
19,50210,1950210,B5,G6350,S,196407429,359707,+41.1950433,-093.6982874,N
19,50213,1950213,B5,G6350,S,542667169,1308300,+41.0316852,-093.7661365,N
19,50257,1950257,B5,G6350,S,103296613,0,+41.1895071,-093.8472301,N
19,50108,1950108,B5,G6350,S,188443671,164436,+40.8256431,-093.9526600,N
19,51346,1951346,B5,G6350,S,377302746,55835,+43.1804632,-095.4594507,N
19,51338,1951338,B5,G6350,S,188586392,713538,+43.2053657,-095.3187499,N
19,52043,1952043,B5,G6350,S,258435335,0,+42.8452137,-091.4192037,N
19,52141,1952141,B5,G6350,S,216864900,74045,+42.9364237,-091.6400179,N
19,52157,1952157,B5,G6350,S,146694531,2749090,+43.0218955,-091.2403087,N
19,52254,1952254,B5,G6350,S,146759383,0,+41.9521005,-090.8011783,N
19,51465,1951465,B5,G6350,S,141083054,21674,+42.0868860,-095.2007247,N
19,51060,1951060,B5,G6350,S,156146936,100172,+42.0420320,-095.6848707,N
19,50063,1950063,B5,G6350,S,170414757,118000,+41.6955487,-093.9406778,N
19,50069,1950069,B5,G6350,S,13262492,0,+41.5207646,-094.0302624,N
19,52537,1952537,B5,G6350,S,896396219,3733967,+40.7349880,-092.4136176,N
19,52560,1952560,B5,G6350,S,90748254,1184300,+40.8505215,-092.2513679,N
19,52588,1952588,B5,G6350,S,26405619,481738,+40.8651161,-092.1703667,N
19,50103,1950103,B5,G6350,S,157258966,150478,+40.7951203,-093.6091438,N
19,50123,1950123,B5,G6350,S,204314880,269954,+40.8338255,-093.5138146,N
19,52655,1952655,B5,G6350,S,42480154,84376,+40.8464869,-091.2120177,N
