,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Chicago, IL",Inficare,"Build solutions that will be applied in real time contexts, such as recommendation engines, inventory management, pricing etc. – using machine learning tools,...",b1acab0a178add21,Data Scientist,,,,23 minutes,2016-10-17 23:30:54.742722,Chicago
1,"Chicago, IL",Brad's Deals,Brad’s Deals is looking for an experienced data scientist to join our team. Develop recommender systems based on behavioral data....,4345e7fc5772b24a,Data Scientist,,,,1 day,2016-10-17 23:30:54.742722,Chicago
2,"Chicago, IL","Vizient, Inc.","Serves as the resident data expert and share best practices/approaches for statistics, machine learning techniques, data modeling, simulation and advanced...",9a441b69e587736a,Data Scientist,,,,4 days,2016-10-17 23:30:54.742722,Chicago
3,"Chicago, IL",Anomalix,Data Scientist Responsibilities will include:. Anomalix is looking for strong data scientist candidates to join a team building out our flagship enterprise...,711c408ec28cfcaf,Data Scientist,,,,11 days,2016-10-17 23:30:54.742722,Chicago
4,"Chicago, IL",BMW Technology Corporation,"Develop novel and useful machine learning and data mining techniques, as well as assess 3rd party machine learning and data mining components....",12c756d844582814,Machine Learning Researcher - BMW Technology Corporation,,,,8 days,2016-10-17 23:30:54.742722,Chicago
5,"Chicago, IL 60601 (Loop area)",KPMG,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. KPMG is currently seeking a Data Scientist, to join our...",470c8353e5469a5b,Data Scientist,,51.0,1768,3 days,2016-10-17 23:30:54.742722,Chicago
6,"Chicago, IL",Amyx,"Seeking a Senior Data Scientist with experience and knowledge of analytics to solve large-scale, enterprise, complex, and challenging business problems....",3e0070b7e8dc8931,Data Scientist,,,,14 days,2016-10-17 23:30:54.742722,Chicago
7,"Chicago, IL",Google,Experience with data analytics and/or data visualization techniques and software. Experience interpreting technical data and creating reports with data....,f94835ba16f9ce1d,"Machine Learning Deployment Engineer, Professional Services,...",,52.800003,1219,17 days,2016-10-17 23:30:54.742722,Chicago
8,"Chicago, IL 60606 (Loop area)",ZirMed,"The role will focus on extending machine learning, predictive modeling and data mining components to provide up-to-date intelligence to healthcare providers...",28c603e910a47aed,Data Scientist,,51.0,5,19 days,2016-10-17 23:30:54.742722,Chicago
9,"Chicago, IL",National Opinion Research Center (NORC),Working knowledge of applied survey sampling and statistics for all modes of social science data collection....,58c12518a1e9f17b,Statistician,,,,4 days,2016-10-17 23:30:54.742722,Chicago
10,"Chicago, IL 60654 (Loop area)",RAY ALLEN,"Use Qlik Sense along with Excel, Access, MySQL, R, and other tools to clean up, organize, model (ETL), and interpret large data sets....",3a982c164ab623ef,Associate Data Scientist,,,,14 days,2016-10-17 23:30:54.742722,Chicago
11,"Chicago, IL",Ipsos North America,"DAAS is a team of statisticians, social scientists, and data specialists based in our Washington DC and Chicago IL offices who develop customized, high quality...",a43b889603b867af,USPA - Statistical Programmer,,42.6,185,2 days,2016-10-17 23:30:54.742722,Chicago
12,"Chicago, IL",Kaplan,Metis Senior Data Scientists provide incredible and inspiring Data Science instruction; We are looking for Senior Data Scientists to be part of the Metis Data...,0e3e273b124515ba,Senior Data Scientist,,43.2,948,5 days,2016-10-17 23:30:54.742722,Chicago
13,"Chicago, IL",Kelton Global,"One to two years of relevant quantitative experience within a market research capacity is highly preferred, but if you have relevant internship experience, we...",fc418bb64af01726,"Analyst, Quantitative Research",,,,6 days,2016-10-17 23:30:54.742722,Chicago
14,"Chicago, IL 60654 (Loop area)",CCC Information Services Inc.,"The Vision Scientist, will contribute to a photo analytics project, with a goal of developing a fully automated solution for an auto collision damage appraisal....",f2657a697ef8921c,Computer Vision Data Scientist,,42.6,28,8 hours,2016-10-17 23:30:54.742722,Chicago
15,"Chicago, IL",Civis Analytics,"With a specialization in unstructured data, this Data Scientist role will apply techniques from fields such as machine learning, applied statistics, natural...",216f8383df42ee69,Data Scientist - Unstructured Data,,,,27 days,2016-10-17 23:30:54.742722,Chicago
16,"Chicago, IL",Northwestern University,"Critical thinking, business intelligence application design, data mining, data modeling, data warehouse design/develop, database design/ data structure,...",11753ea285fae197,Senior Statistical Analyst,,52.199997,174,10 days,2016-10-17 23:30:54.742722,Chicago
17,"Chicago, IL",Northwestern University,"Ensures data integrity. This includes database administration, data consolidation, data analysis and management reporting....",a4c3ff922a8230f3,Statistical Analyst,,52.199997,174,12 days,2016-10-17 23:30:54.742722,Chicago
18,"Chicago, IL 60603 (Loop area)",Raise Marketplace Inc.,Manage incoming ad-hoc reporting requests and data related inquiries. Experience with online testing web analytics and testing platform is a plus (Google...,09f54ef997ccf9c3,Data Analyst,,,,9 days,2016-10-17 23:30:54.742722,Chicago
19,"Deerfield, IL",Photon,"Experience in Machine Learning Techniques, Statistical Analysis and Modelling, Big Data Analytics, Advanced Visualization, Data Science, Statistical Computation...",bf6ea203264e9da8,Data Scientist,,42.6,5,13 days,2016-10-17 23:30:54.742722,Chicago
20,"Chicago, IL 60604 (Loop area)",Wolverine Trading,"Machine Learning Data Scientist. Masters or PhD in Statistics, Physics, Applied Mathematics Computer Science/Machine Learning, or other highly quantitative...",4b77ac5b55eefbce,Machine Learning Data Scientist,,,,27 days,2016-10-17 23:30:54.742722,Chicago
21,"Chicago, IL",Valence Health,"Leveraging 20 years of experience, Valence Health works with clients to design, build and manage customized value-based care models including clinically...",31a10e2ccf371306,Data Scientist,,,,30 days,2016-10-17 23:30:54.742722,Chicago
