,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
399,"Linthicum Heights, MD",Federal Data Systems,"Â?¢ Develop (or provide critical assistance in developing) comprehensive counterintelligence plans to include threat identification and prioritization, exercise...",2954aeba6441653d,Sr. Qualitative Research and Counterintelligence (CI) Analys...,,51.0,2,23 days,2016-10-17 23:55:54.522368,Baltimore
400,"Linthicum Heights, MD 21090",Federal Data Systems,"O Develop (or provide critical assistance in developing) comprehensive counterintelligence plans to include threat identification and prioritization, exercise...",0c4887b846629a3f,Sr. Qualitative Research & Counterintelligence (CI) Analyst...,,51.0,2,24 days,2016-10-17 23:55:54.522368,Baltimore
401,"Linthicum, MD",FEDDATA,"Develop (or provide critical assistance in developing) comprehensive counterintelligence plans to include threat identification and prioritization, exercise...",0d06ac95c359de7a,Senior Qualitative Research & Counterintelligence Analyst **...,,,,30+ days,2016-10-17 23:55:54.522368,Baltimore
402,"Linthicum Heights, MD",Federal Data Systems,"Â?¢ Develop (or provide critical assistance in developing) comprehensive counterintelligence plans to include threat identification and prioritization, exercise...",2954aeba6441653d,Sr. Qualitative Research and Counterintelligence (CI) Analys...,,51.0,2,23 days,2016-10-17 23:55:54.522368,Baltimore
403,"Linthicum Heights, MD 21090",Federal Data Systems,"O Develop (or provide critical assistance in developing) comprehensive counterintelligence plans to include threat identification and prioritization, exercise...",0c4887b846629a3f,Sr. Qualitative Research & Counterintelligence (CI) Analyst...,,51.0,2,24 days,2016-10-17 23:55:54.522368,Baltimore
404,"Linthicum, MD",FEDDATA,"Develop (or provide critical assistance in developing) comprehensive counterintelligence plans to include threat identification and prioritization, exercise...",0d06ac95c359de7a,Senior Qualitative Research & Counterintelligence Analyst **...,,,,30+ days,2016-10-17 23:55:54.522368,Baltimore
405,"Linthicum Heights, MD",Federal Data Systems,"Â?¢ Develop (or provide critical assistance in developing) comprehensive counterintelligence plans to include threat identification and prioritization, exercise...",2954aeba6441653d,Sr. Qualitative Research and Counterintelligence (CI) Analys...,,51.0,2,23 days,2016-10-17 23:55:54.522368,Baltimore
406,"Linthicum Heights, MD 21090",Federal Data Systems,"O Develop (or provide critical assistance in developing) comprehensive counterintelligence plans to include threat identification and prioritization, exercise...",0c4887b846629a3f,Sr. Qualitative Research & Counterintelligence (CI) Analyst...,,51.0,2,24 days,2016-10-17 23:55:54.522368,Baltimore
407,"Linthicum, MD",FEDDATA,"Develop (or provide critical assistance in developing) comprehensive counterintelligence plans to include threat identification and prioritization, exercise...",0d06ac95c359de7a,Senior Qualitative Research & Counterintelligence Analyst **...,,,,30+ days,2016-10-17 23:55:54.522368,Baltimore
408,"Linthicum Heights, MD",Federal Data Systems,"Â?¢ Develop (or provide critical assistance in developing) comprehensive counterintelligence plans to include threat identification and prioritization, exercise...",2954aeba6441653d,Sr. Qualitative Research and Counterintelligence (CI) Analys...,,51.0,2,23 days,2016-10-17 23:55:54.522368,Baltimore
409,"Linthicum Heights, MD 21090",Federal Data Systems,"O Develop (or provide critical assistance in developing) comprehensive counterintelligence plans to include threat identification and prioritization, exercise...",0c4887b846629a3f,Sr. Qualitative Research & Counterintelligence (CI) Analyst...,,51.0,2,24 days,2016-10-17 23:55:54.522368,Baltimore
410,"Linthicum, MD",FEDDATA,"Develop (or provide critical assistance in developing) comprehensive counterintelligence plans to include threat identification and prioritization, exercise...",0d06ac95c359de7a,Senior Qualitative Research & Counterintelligence Analyst **...,,,,30+ days,2016-10-17 23:55:54.522368,Baltimore
411,"Linthicum Heights, MD",Federal Data Systems,"Â?¢ Develop (or provide critical assistance in developing) comprehensive counterintelligence plans to include threat identification and prioritization, exercise...",2954aeba6441653d,Sr. Qualitative Research and Counterintelligence (CI) Analys...,,51.0,2,23 days,2016-10-17 23:55:54.522368,Baltimore
412,"Linthicum Heights, MD 21090",Federal Data Systems,"O Develop (or provide critical assistance in developing) comprehensive counterintelligence plans to include threat identification and prioritization, exercise...",0c4887b846629a3f,Sr. Qualitative Research & Counterintelligence (CI) Analyst...,,51.0,2,24 days,2016-10-17 23:55:54.522368,Baltimore
413,"Linthicum, MD",FEDDATA,"Develop (or provide critical assistance in developing) comprehensive counterintelligence plans to include threat identification and prioritization, exercise...",0d06ac95c359de7a,Senior Qualitative Research & Counterintelligence Analyst **...,,,,30+ days,2016-10-17 23:55:54.522368,Baltimore
414,"Linthicum Heights, MD",Federal Data Systems,"Â?¢ Develop (or provide critical assistance in developing) comprehensive counterintelligence plans to include threat identification and prioritization, exercise...",2954aeba6441653d,Sr. Qualitative Research and Counterintelligence (CI) Analys...,,51.0,2,23 days,2016-10-17 23:55:54.522368,Baltimore
415,"Linthicum Heights, MD 21090",Federal Data Systems,"O Develop (or provide critical assistance in developing) comprehensive counterintelligence plans to include threat identification and prioritization, exercise...",0c4887b846629a3f,Sr. Qualitative Research & Counterintelligence (CI) Analyst...,,51.0,2,24 days,2016-10-17 23:55:54.522368,Baltimore
416,"Linthicum, MD",FEDDATA,"Develop (or provide critical assistance in developing) comprehensive counterintelligence plans to include threat identification and prioritization, exercise...",0d06ac95c359de7a,Senior Qualitative Research & Counterintelligence Analyst **...,,,,30+ days,2016-10-17 23:55:54.522368,Baltimore
417,"Linthicum Heights, MD",Federal Data Systems,"Â?¢ Develop (or provide critical assistance in developing) comprehensive counterintelligence plans to include threat identification and prioritization, exercise...",2954aeba6441653d,Sr. Qualitative Research and Counterintelligence (CI) Analys...,,51.0,2,23 days,2016-10-17 23:55:54.522368,Baltimore
418,"Linthicum Heights, MD 21090",Federal Data Systems,"O Develop (or provide critical assistance in developing) comprehensive counterintelligence plans to include threat identification and prioritization, exercise...",0c4887b846629a3f,Sr. Qualitative Research & Counterintelligence (CI) Analyst...,,51.0,2,24 days,2016-10-17 23:55:54.522368,Baltimore
419,"Linthicum, MD",FEDDATA,"Develop (or provide critical assistance in developing) comprehensive counterintelligence plans to include threat identification and prioritization, exercise...",0d06ac95c359de7a,Senior Qualitative Research & Counterintelligence Analyst **...,,,,30+ days,2016-10-17 23:55:54.522368,Baltimore
