,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
25,"Miramar, FL",DeVry University,"Assist Data Scientists in the exploration and validation of data, including understanding and championing the business point of view....",9725021cda652c1a,Senior Data Analyst,,43.8,720,30+ days,2016-10-18 00:03:53.428289,Miami
26,"Coral Gables, FL",University of Miami,"UHealth-University of Miami Health System, South Florida's only university-based health system, provides leading-edge patient care powered by the ground...",b3d9edc18470ecb0,Research Laboratory Technician,"$27,400 - $49,400 a year",51.6,273,5 days,2016-10-18 00:03:53.428289,Miami
27,"Miami, FL",Trajecoire Capital,"Matlab, R) and experience at manipulating large datasets. Develop and use quantitative factor analysis to understand portfolios (hedge funds, long only…)...",83db7131ebd06184,Quantitative Analyst,,,,30+ days,2016-10-18 00:03:53.428289,Miami
28,"Coral Gables, FL",University of Miami,The incumbent will also assist other scientists in the group with the development of techniques for evaluating the performance of these models compared with...,ee999e893d33366d,RSMAS - Senior Research Associate I,,51.6,273,30+ days,2016-10-18 00:03:53.428289,Miami
29,"Coral Gables, FL",University of Miami,"The Cooperative Institute for Marine and Atmospheric Studies (CIMAS) at the University of Miami (UM), Rosenstiel School of Marine and Atmospheric Science (RSMAS...",07c8ab2ccf137e9d,Associate Scientist,,51.6,273,17 days,2016-10-18 00:03:53.428289,Miami
30,"Coral Gables, FL",University of Miami,"Conduct routine data checks to ensure data integrity. UHealth-University of Miami Health System, South Florida's only university-based health system, provides...",440b06da118f0543,Statistical Programmer,"$32,900 a year",51.6,273,30+ days,2016-10-18 00:03:53.428289,Miami
31,"Hollywood, FL 33021",Memorial Healthcare System,Provides clinical research related financial analysis and prepares internal and external financial reports by compiling information and utilizing appropriate...,9ddb94eb944257c2,Senior Analyst - Financial / Office of Human Research,,44.4,73,14 days,2016-10-18 00:03:53.428289,Miami
32,"Coral Gables, FL",University of Miami,"UHealth-University of Miami Health System, South Florida's only university-based health system, provides leading-edge patient care powered by the ground...",a797a14349049b7f,Assistant Scientist (Human Genetics),,51.6,273,30+ days,2016-10-18 00:03:53.428289,Miami
33,"Coral Gables, FL",University of Miami,"UHealth-University of Miami Health System, South Florida's only university-based health system, provides leading-edge patient care powered by the ground...",e95f2b2b087c0692,Assistant Scientist (Miami Project to Cure Paralysis),"$53,900 - $96,900 a year",51.6,273,19 days,2016-10-18 00:03:53.428289,Miami
34,"Coral Gables, FL",University of Miami,"He or she will be responsible for developing the necessary software for analyzing scientific data, presenting findings at scientific meetings, publishing...",538fb7cf27d9577b,RSMAS - Assistant Scientist - CIMAS,,51.6,273,30+ days,2016-10-18 00:03:53.428289,Miami
35,"Coral Gables, FL",University of Miami,"This candidate will have the ability to keep computer records, maintain/update data in computer-based applications/databases, maintain experimental data and...",0b464d90898344f0,"Research Associate 2, (SCCC)",,51.6,273,26 days,2016-10-18 00:03:53.428289,Miami
36,"Coral Gables, FL",University of Miami,"Of Miami Health System, South Florida's only university-based health system,. Maintains records, codes data for input for electronic data processing inputs and...",ca5593c4e4bd845d,Research Assistant (Part-Time),"$27,400 - $49,400 a year",51.6,273,30+ days,2016-10-18 00:03:53.428289,Miami
37,"Dania Beach, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",b4aa0cc89d995fe6,Contractor - Talent Acquisition Analyst,,54.0,2,28 days,2016-10-18 00:03:53.428289,Miami
38,"Fort Lauderdale, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",eba77ab89b348531,Facilities Engineering Manager (FL),,54.0,2,2 days,2016-10-18 00:03:53.428289,Miami
39,"Miramar, FL",NBCUniversal,Consolidate data from the division’s 80 Adobe Analytics report suites and distribute daily reports containing traffic details for the previous day and month-to...,207457888971c914,"Telemundo Stations, Digital Research Analyst",,51.6,980,30+ days,2016-10-18 00:03:53.428289,Miami
40,"Miami Lakes, FL",Q-Q Research Consultants,"Prepare data appendices, graphs, and other data visualizations. Evaluation, Research, Statistics, Data Analysis:....",10ec48093d7db585,Research Analyst,,,,30+ days,2016-10-18 00:03:53.428289,Miami
41,"Coral Gables, FL",University of Miami,"UHealth-University of Miami Health System, South Florida's only university-based health system, provides leading-edge patient care powered by the ground...",775201b0bc826d05,Sr. Research Analyst / Pre-award Grants,"$40,000 - $72,000 a year",51.6,273,30+ days,2016-10-18 00:03:53.428289,Miami
42,"Miami, FL","Beckman Coulter, Inc.",The Scientific Content Manager will work closely with the Advanced Clinical and Clinical Research Application product management team in Miami and Marseille....,550cd4db55494948,Marketing Application Scientist - Flow Cytometry,,42.6,245,30+ days,2016-10-18 00:03:53.428289,Miami
43,"Coral Gables, FL",University of Miami,"UHealth-University of Miami Health System, South Florida's only university-based health system, provides leading-edge patient care powered by the ground...",f5247699eb96c2af,Assistant Scientist/Postdoctoral Associate,"$53,900 - $65,000 a year",51.6,273,30+ days,2016-10-18 00:03:53.428289,Miami
44,"Dania Beach, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",1571299c1ea93f89,Marketing Analyst,,54.0,2,30+ days,2016-10-18 00:03:53.428289,Miami
45,"Plantation, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",d8cd3bb8ff4f5902,Reliability Engineering Technician (multiple positions avail...,,54.0,2,27 days,2016-10-18 00:03:53.428289,Miami
46,"Fort Lauderdale, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",329e27dac017218a,Program Director (PMP),,54.0,2,23 days,2016-10-18 00:03:53.428289,Miami
47,"Coral Gables, FL",University of Miami,The work will be done in close collaboration with scientists in the Physical Oceanography Division at the National Oceanic and Atmospheric Administration's...,d33ee4b3be94c87d,RSMAS-Research Associate II,,51.6,273,30+ days,2016-10-18 00:03:53.428289,Miami
48,"Miami, FL","Beckman Coulter, Inc.","For 80 years, our products have been making a difference in peoples’ lives by improving the productivity of medical professionals and scientists, supplying...",d80041d1b4b0005a,"Senior, Technical Support Engineer",,42.6,245,9 hours,2016-10-18 00:03:53.428289,Miami
49,"Coral Gables, FL",University of Miami,This department is responsible for billing compliance for clinical research billing activities related to human subjects clinical research....,96c9a727b10afdef,Financial Analyst (Clinical Research Revenue),"$38,750 - $51,000 a year",51.6,273,30+ days,2016-10-18 00:03:53.428289,Miami
50,"Dania Beach, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",be70fee2400f3326,Sensors & Computer Vision Engineer,,54.0,2,30+ days,2016-10-18 00:03:53.428289,Miami
51,"Miami, FL",Morgan Stephens,Salary is 75-85K plus a benefits package. Looking for a Legal Librarian that will be responsible for conducting legal and due diligence research for the firm....,889e1a97e7fbf645,Librarian Research Analyst,"$75,000 - $85,000 a year",42.0,2,30+ days,2016-10-18 00:03:53.428289,Miami
52,"Miami, FL 33155",Miami Children's Hospital,"The position is primarily a clinical position related to the diagnosis, treatment and clinical management of pediatric patients in a multidisciplinary...",dd7b206e3b089da3,Physician/Attending - POOL Position - Miami Lakes UCC - 1111...,,51.6,96,17 days,2016-10-18 00:03:53.428289,Miami
53,"Dania Beach, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",784e3429f4016c39,Calibration Technician,,54.0,2,30+ days,2016-10-18 00:03:53.428289,Miami
54,"Miramar, FL",Altor BioScience Corporation,"The successful candidate will contribute to assay development at Altor Bioscience to develop, optimize and validate new and existing assays for product and...",55caab737e9621ee,"Associate Scientist, Assay Development",,,,27 days,2016-10-18 00:03:53.428289,Miami
55,"Fort Lauderdale, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",ef59eec4b300d4d2,Software Development Engineer in Test (Mid Level),,54.0,2,5 days,2016-10-18 00:03:53.428289,Miami
56,"Miami, FL","Beckman Coulter, Inc.",Bachelor's or Master's degree in technical or health care area with 7 – 9+ years of experience in developing and executing clinical data management procedures...,0acc7fce6baf41bb,"Senior Manager, Clinical Data Management",,42.6,245,30+ days,2016-10-18 00:03:53.428289,Miami
57,"Dania Beach, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",fb3e3b6e4d5064bb,Process Technician,,54.0,2,30+ days,2016-10-18 00:03:53.428289,Miami
58,"Coral Gables, FL",University of Miami,Process biological samples and disseminate to appropriate scientists throughout the U.S. A broad set of training and skills are needed to successfully interview...,e15248f5884546ff,Research Associate II-CIMA,,51.6,273,30+ days,2016-10-18 00:03:53.428289,Miami
59,"Miami, FL",Green Key Resources,"The Research Analyst will assist the Principal Investigator in the conduct all aspects of specific clinical research projects, to include subject recruitment,...",3cb62ccb5350cc57,Clinical Research Analyst,,52.800003,28,22 days,2016-10-18 00:03:53.428289,Miami
60,"Fort Lauderdale, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",273bfb869ddebff2,Sr. Software Engineer (Tooling),,54.0,2,29 days,2016-10-18 00:03:53.428289,Miami
61,"Coconut Grove, FL",Moffatt & Nichol,Assisting in and supervising the data collection and project research related to impact of proposed project. Coordination with project teams that will include...,0feffb5612f4a9ae,Environmental Permitting Scientist/Engineer w/PD&E experienc...,,43.8,4,30+ days,2016-10-18 00:03:53.428289,Miami
62,"Miami, FL 33155",Miami Children's Hospital,"The position is primarily a clinical position related to the diagnosis, treatment and clinical management of pediatric patients in a multidisciplinary...",fe242c6e24106676,Physician/Attending - Cardiac Intensivist - CVICU - 11145,,51.6,96,6 days,2016-10-18 00:03:53.428289,Miami
63,"Plantation, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",9042cf356709a875,Equipment Engineering Technician,,54.0,2,30+ days,2016-10-18 00:03:53.428289,Miami
64,"Miami, FL",Staffing Resource Group,I’m currently looking for QC Scientists for a growing pharmaceutical company in south Miami. Minimum of four years experience with a Bachelor degree in...,1f8bfdee5bf4223f,QC Chemist,"$50,000 a year",42.0,2,30+ days,2016-10-18 00:03:53.428289,Miami
65,"Fort Lauderdale, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",8fadd9634cb44060,Sr. Manufacturing Information Systems Engineer,,54.0,2,30+ days,2016-10-18 00:03:53.428289,Miami
66,"Coral Gables, FL",University of Miami,"He or she will also be responsible for processing data, analyzing and interpreting the results, presenting findings at scientific meetings and publishing the...",4ffc3175d97cb6a7,RSMAS-Postdoctoral Associate,,51.6,273,30+ days,2016-10-18 00:03:53.428289,Miami
67,"Fort Lauderdale, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",37635c70180ab873,Release Management DevOps Engineer (FL),,54.0,2,30+ days,2016-10-18 00:03:53.428289,Miami
68,"Miami Beach, FL 33119",Merchant Hub LLC,"Operations Research Analyst for merchant services company in Miami Beach, FL. Formulate & apply mathematical & simulation modeling of problems, relating",055a0f6e174f9940,Operations Research Analyst,,,,2 days,2016-10-18 00:03:53.428289,Miami
69,"Miami, FL","Beckman Coulter, Inc.","Processes clinical invoices, tracks clinical study expenses and supports the process for routing of clinical contracts....",3d21ecad487e46fe,"Technician Science, Clinical Coordinator",,42.6,245,30+ days,2016-10-18 00:03:53.428289,Miami
70,"Miami, FL 33155",Miami Children's Hospital,"The position is primarily a clinical position related to the diagnosis, treatment and clinical management of pediatric patients in a multidisciplinary...",12e1986747c989f6,Physician/Attending - Miami Lakes Urgent Care. Full Time! -...,,51.6,96,28 days,2016-10-18 00:03:53.428289,Miami
71,"Fort Lauderdale, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",e53d8697032acb6f,System Researcher (Quantified Experience),,54.0,2,30+ days,2016-10-18 00:03:53.428289,Miami
72,"Fort Lauderdale, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",d9acf028f13ff7e5,Sr. Software Engineer (Systems),,54.0,2,29 days,2016-10-18 00:03:53.428289,Miami
73,"Dania Beach, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",23a71ee0218f8947,"Computer Vision, Sensors, & Algorithm Architect",,54.0,2,30+ days,2016-10-18 00:03:53.428289,Miami
74,"Dania Beach, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",c0beee12b350bfdf,HRIS Administrator,,54.0,2,18 days,2016-10-18 00:03:53.428289,Miami
75,"Fort Lauderdale, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",5144c1f332f79eb4,Optical Systems Engineer,,54.0,2,30+ days,2016-10-18 00:03:53.428289,Miami
76,"Dania Beach, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",a4b8ee35291bb41c,Mechanical Engineer,,54.0,2,30+ days,2016-10-18 00:03:53.428289,Miami
77,"Miramar, FL 33025",Altor BioScience Corporation,Maintain scientific excellence and attention to detail in area of protein biochemistry. The successful candidate will be responsible for development and...,e2da0810c6e41424,Associate Scientist Protein Purification,,,,25 days,2016-10-18 00:03:53.428289,Miami
78,"Miami, FL 33122",ADP,"At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and...",08d46a9b59463f12,Senior Product Manager - TotalSource,,44.4,1657,10 days,2016-10-18 00:03:53.428289,Miami
79,"Dania Beach, FL","Magic Leap, Inc.","Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and...",ce8f04f66af5c078,Systems Engineer (Requirements),,54.0,2,30+ days,2016-10-18 00:03:53.428289,Miami
80,"Miami, FL","Beckman Coulter, Inc.","For 80 years, our products have been making a difference in peoples’ lives by improving the productivity of medical professionals and scientists, supplying...",2863db211a229a70,Accountant II,,42.6,245,16 days,2016-10-18 00:03:53.428289,Miami
81,"Miami Lakes, FL",Chicago Bridge & Iron Company,Collection and interpretation/evaluation of scientific data. Working knowledge of scientific computer programs and models....,bd170681199e4c30,Environmental Scientist,,,,26 days,2016-10-18 00:03:53.428289,Miami
